Age,Gender,Where_live,AVG_Sleep_Per_Night,Regular_Bed_time,Exam_Night_Bed_Time,Holiday_Bed_Time,Regular_WakeUp_Time,Holiday_WakeUp_Time,Have_Regular_Bed_Time,Daytime_Nap,Struggle_to_Sleep,Sleep_Condition,Electronic_Devices_Before_Bed,Consume_Caffeine_Night,Dinnar_Time,Smoke,Sleep_Affecting_Drugs,Daily_Academics_Time_Spend,Main_Reason_for_Insufficient_Sleep,Rate_Sleep_Quality,Class_Attendance,Sleepiness_During_Class,Skip_Class_for_Sleep,Focus_on_Academic_Task,Impact_of_Sleep_on_Academic,Current_CGPA5,CGPA3_Class,Aware_of_Recomamended_Sleep,Use_Sleep_Tracking_Devices,Sacrifices_Sleep_for_Academics
16-20,Male,In mess,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,Never,Sometimes,N/A,Yes,Yes,>9PM,Yes,No,<1h,Workload,Good,Usually on time,Often,No,Sometimes,Somewhat Negative,3.5-3.74,3.5-4.0,Yes,No,Yes
16-20,Male,In mess,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Often,N/A,Yes,Yes,>9PM,No,No,<1h,Workload,Good,Usually on time,Often,Yes,Sometimes,Somewhat Negative,3.5-3.74,3.5-4.0,Yes,No,Yes
16-20,Female,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,≥5d,Always,N/A,No,Yes,7-9PM,No,No,1-2h,Workload,Good,Always on time,Rarely,No,Always,Somewhat Positive,<3.0,<3.0,No,No,No
21-25,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,≥5d,Always,N/A,Yes,Yes,7-9PM,Yes,No,>4h,Other,Good,Always on time,Often,No,Always,Somewhat Negative,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In mess,7-8h,11PM-12AM,11PM-12AM,12-1AM,6-8AM,After 8AM,Yes,≥5d,Rarely,N/A,Yes,Yes,>9PM,No,No,3-4h,Workload,V.Good,Always on time,Never,No,Always,Very Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
16-20,Female,In hostel,5-6h,11PM-12AM,10-11PM,12-1AM,Before 6AM,6-8AM,Yes,3-4d,Rarely,N/A,Yes,No,7-9PM,No,No,2-3h,Noise,V.Good,Always on time,Rarely,Yes,Always,Very Positive,3.25-3.49,3.0-3.49,Yes,No,Yes
16-20,Male,With family,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,1-2d,Rarely,N/A,Yes,Yes,>9PM,No,No,1-2h,Social media,Good,Always on time,Rarely,No,Always,No impact,3.0-3.24,3.0-3.49,Yes,No,No
21-25,Male,In hostel,7-8h,11PM-12AM,10-11PM,11PM-12AM,Before 6AM,6-8AM,Yes,≥5d,Rarely,N/A,Yes,Yes,7-9PM,No,No,2-3h,Stress,V.Good,Always on time,Never,No,Sometimes,Very Positive,3.5-3.74,3.5-4.0,Yes,Yes,No
21-25,Female,In hostel,5-6h,11PM-12AM,12-1AM,12-1AM,Before 6AM,After 8AM,Yes,Never,Sometimes,OSA,Yes,Yes,>9PM,No,No,2-3h,Social media,Good,Always on time,Never,No,Always,No impact,<3.0,<3.0,Yes,Yes,No
21-25,Male,In mess,7-8h,12-1AM,10-11PM,After 1 AM,After 8AM,After 8AM,No,1-2d,Never,N/A,Yes,No,7-9PM,Yes,No,>4h,Social media,V.Good,Occasionally late,Rarely,No,Always,Very Positive,3.25-3.49,3.0-3.49,Yes,Yes,Yes
21-25,Male,In mess,7-8h,12-1AM,12-1AM,12-1AM,6-8AM,6-8AM,Yes,Never,Rarely,N/A,Yes,Yes,7-9PM,No,No,2-3h,Social media,Avg,Always on time,Rarely,No,Rarely,No impact,3.5-3.74,3.5-4.0,Yes,No,No
16-20,Male,With family,5-6h,12-1AM,After 1 AM,12-1AM,6-8AM,After 8AM,Yes,1-2d,Rarely,RLS,Yes,Yes,>9PM,No,No,1-2h,Social media,V.Good,Always on time,Rarely,No,Sometimes,No impact,3.25-3.49,3.0-3.49,Yes,No,No
21-25,Male,In mess,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,1-2d,Rarely,PLMS,Yes,Yes,7-9PM,No,No,<1h,Noise,Avg,Usually on time,Often,No,Rarely,No impact,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,Never,Always,N/A,Yes,No,>9PM,No,No,<1h,Social media,Good,Usually on time,Always,Yes,Sometimes,Somewhat Negative,3.0-3.24,3.0-3.49,Yes,No,Yes
16-20,Male,With family,7-8h,12-1AM,After 1 AM,11PM-12AM,6-8AM,After 8AM,Yes,3-4d,Sometimes,OSA,Yes,Yes,>9PM,No,No,1-2h,Workload,V.Good,Always on time,Rarely,No,Sometimes,No impact,3.0-3.24,3.0-3.49,Yes,No,No
21-25,Female,With family,5-6h,After 1 AM,After 1 AM,12-1AM,Before 6AM,After 8AM,No,1-2d,Sometimes,PLMS,Yes,No,7-9PM,No,No,3-4h,Entertainment,Good,Usually on time,Never,Yes,Sometimes,No impact,3.0-3.24,3.0-3.49,Yes,No,Yes
16-20,Female,In mess,7-8h,12-1AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Sometimes,N/A,Yes,Yes,>9PM,No,No,3-4h,Social media,V.Good,Always on time,Rarely,No,Rarely,No impact,3.25-3.49,3.0-3.49,Yes,No,Yes
16-20,Male,In hostel,5-6h,12-1AM,12-1AM,After 1 AM,6-8AM,After 8AM,No,1-2d,Never,N/A,Yes,Yes,7-9PM,No,No,3-4h,Social media,V.Good,Usually on time,Often,No,Sometimes,Somewhat Positive,3.0-3.24,3.0-3.49,Yes,Yes,No
16-20,Male,In mess,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,3-4d,Often,N/A,Yes,Yes,7-9PM,No,No,1-2h,Social media,Avg,Usually on time,Always,Yes,Sometimes,Somewhat Positive,<3.0,<3.0,Yes,No,Yes
21-25,Female,In hostel,5-6h,12-1AM,After 1 AM,12-1AM,6-8AM,After 8AM,No,1-2d,Never,N/A,Yes,Yes,>9PM,No,No,3-4h,Social media,V.Good,Always on time,Often,No,Sometimes,No impact,<3.0,<3.0,Yes,No,Yes
16-20,Female,With family,5-6h,12-1AM,After 1 AM,After 1 AM,Before 6AM,After 8AM,No,3-4d,Sometimes,N/A,Yes,Yes,7-9PM,No,No,2-3h,Social media,Good,Usually on time,Rarely,No,Always,Somewhat Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
16-20,Male,In hostel,7-8h,12-1AM,12-1AM,12-1AM,6-8AM,After 8AM,No,Never,Sometimes,N/A,Yes,No,7-9PM,No,No,1-2h,Workload,V.Good,Always on time,Rarely,No,Always,Very Positive,3.25-3.49,3.0-3.49,Yes,No,No
16-20,Male,In hostel,5-6h,After 1 AM,12-1AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Rarely,N/A,No,Yes,>9PM,No,No,3-4h,Social media,Good,Usually on time,Rarely,No,Always,Somewhat Positive,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,With family,7-8h,12-1AM,12-1AM,12-1AM,Before 6AM,Before 6AM,Yes,≥5d,Rarely,N/A,Yes,No,>9PM,No,No,>4h,Social media,V.Good,Always on time,Often,No,Sometimes,Somewhat Negative,3.75-4.0,3.5-4.0,Yes,Yes,No
21-25,Female,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Always,Insomnia,Yes,No,7-9PM,No,No,2-3h,Workload,Poor,Always on time,Often,Yes,Never,Very Negative,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,1-2d,Sometimes,N/A,Yes,Yes,7-9PM,No,No,>4h,Workload,Good,Usually on time,Rarely,No,Always,Somewhat Negative,3.0-3.24,3.0-3.49,Yes,Yes,Yes
21-25,Male,With family,5-6h,After 1 AM,11PM-12AM,After 1 AM,6-8AM,After 8AM,No,1-2d,Often,Insomnia,Yes,Yes,>9PM,No,No,1-2h,Stress,Poor,Usually on time,Often,Yes,Sometimes,Somewhat Negative,<3.0,<3.0,Yes,No,Yes
21-25,Male,With family,5-6h,After 1 AM,Before 10PM,After 1 AM,6-8AM,After 8AM,No,1-2d,Always,N/A,Yes,Yes,>9PM,No,No,>4h,Other,Poor,Usually on time,Always,Yes,Sometimes,Somewhat Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,With family,7-8h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Sometimes,N/A,Yes,Yes,>9PM,No,No,1-2h,Noise,Good,Occasionally late,Rarely,Yes,Sometimes,Somewhat Negative,3.25-3.49,3.0-3.49,Yes,No,Yes
21-25,Male,With family,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Often,N/A,Yes,Yes,>9PM,No,No,3-4h,Social media,Good,Usually on time,Rarely,Yes,Sometimes,Somewhat Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Female,With family,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Always,PLMS,Yes,Yes,>9PM,No,No,>4h,Workload,Poor,Frequently late,Rarely,No,Sometimes,Somewhat Positive,<3.0,<3.0,Yes,Yes,Yes
21-25,Male,With family,>8h,12-1AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,≥5d,Often,PLMS,Yes,Yes,>9PM,No,No,<1h,Workload,Good,Frequently late,Always,Yes,Sometimes,Somewhat Negative,<3.0,<3.0,No,No,Yes
21-25,Female,With family,5-6h,11PM-12AM,After 1 AM,11PM-12AM,Before 6AM,After 8AM,No,Never,Sometimes,N/A,Yes,No,7-9PM,No,No,>4h,Other,Good,Always on time,Rarely,No,Always,Very Positive,3.25-3.49,3.0-3.49,Yes,Yes,Yes
21-25,Male,In hostel,7-8h,Before 10PM,10-11PM,10-11PM,Before 6AM,6-8AM,Yes,1-2d,Rarely,N/A,Yes,Yes,7-9PM,No,No,3-4h,Social media,V.Good,Always on time,Rarely,No,Sometimes,Very Positive,3.75-4.0,3.5-4.0,Yes,Yes,Yes
21-25,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Often,OSA,Yes,Yes,7-9PM,Yes,No,3-4h,Job,Good,Occasionally late,Often,Yes,Sometimes,Very Negative,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,5-6h,11PM-12AM,Before 10PM,11PM-12AM,6-8AM,6-8AM,No,3-4d,Rarely,N/A,Yes,No,7-9PM,No,No,<1h,Other,V.Good,Always on time,Rarely,No,Never,Very Positive,3.0-3.24,3.0-3.49,No,No,No
21-25,Male,In hostel,5-6h,11PM-12AM,After 1 AM,Before 10PM,Before 6AM,6-8AM,Yes,1-2d,Never,N/A,Yes,No,>9PM,No,No,3-4h,Workload,V.Good,Always on time,Never,No,Never,No impact,3.5-3.74,3.5-4.0,Yes,No,No
21-25,Male,In hostel,7-8h,After 1 AM,12-1AM,After 1 AM,After 8AM,After 8AM,No,3-4d,Sometimes,N/A,Yes,Yes,>9PM,Yes,No,3-4h,Other,Good,Occasionally late,Often,Yes,Always,Somewhat Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,>8h,After 1 AM,After 1 AM,After 1 AM,6-8AM,6-8AM,No,Never,Never,N/A,Yes,No,>9PM,No,No,3-4h,Social media,Good,Always on time,Never,No,Never,No impact,3.25-3.49,3.0-3.49,No,No,No
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,12-1AM,6-8AM,After 8AM,No,≥5d,Sometimes,N/A,Yes,No,>9PM,No,No,3-4h,Workload,Good,Always on time,Never,No,Always,Very Positive,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,10-11PM,After 1 AM,After 8AM,After 8AM,No,Never,Rarely,RLS,Yes,Yes,<7PM,No,Yes,<1h,Other,Poor,Usually on time,Rarely,No,Always,Very Positive,3.5-3.74,3.5-4.0,Yes,No,No
21-25,Male,In hostel,7-8h,After 1 AM,11PM-12AM,12-1AM,After 8AM,After 8AM,No,3-4d,Rarely,N/A,No,No,>9PM,No,No,>4h,Noise,V.Good,Always on time,Often,No,Sometimes,Very Negative,3.5-3.74,3.5-4.0,Yes,No,No
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,Never,Rarely,N/A,Yes,Yes,7-9PM,No,No,>4h,Social media,Good,Usually on time,Often,Yes,Sometimes,Somewhat Positive,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,11PM-12AM,12-1AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Sometimes,RLS,Yes,Yes,>9PM,No,No,2-3h,Social media,Avg,Frequently late,Always,Yes,Sometimes,Somewhat Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Sometimes,OSA,Yes,Yes,>9PM,No,No,>4h,Workload,Good,Usually on time,Often,Yes,Sometimes,Somewhat Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,12-1AM,After 1 AM,12-1AM,6-8AM,6-8AM,No,1-2d,Sometimes,N/A,Yes,No,7-9PM,No,No,>4h,Social media,Good,Usually on time,Often,No,Sometimes,Somewhat Negative,3.5-3.74,3.5-4.0,Yes,No,No
21-25,Male,In hostel,7-8h,11PM-12AM,12-1AM,12-1AM,6-8AM,6-8AM,Yes,3-4d,Often,Insomnia,No,Yes,7-9PM,No,Yes,1-2h,Other,Avg,Occasionally late,Often,No,Sometimes,Somewhat Positive,3.5-3.74,3.5-4.0,Yes,Yes,Yes
21-25,Male,In hostel,7-8h,12-1AM,11PM-12AM,11PM-12AM,6-8AM,6-8AM,Yes,1-2d,Sometimes,N/A,Yes,Yes,7-9PM,No,No,2-3h,Social media,V.Good,Always on time,Rarely,Yes,Sometimes,No impact,3.5-3.74,3.5-4.0,Yes,Yes,Yes
21-25,Male,In hostel,<5h,11PM-12AM,11PM-12AM,12-1AM,Before 6AM,Before 6AM,Yes,≥5d,Sometimes,N/A,Yes,No,7-9PM,No,No,3-4h,Social media,Good,Usually on time,Rarely,No,Sometimes,Somewhat Negative,3.5-3.74,3.5-4.0,Yes,Yes,Yes
21-25,Male,In hostel,5-6h,Before 10PM,After 1 AM,12-1AM,After 8AM,6-8AM,Yes,1-2d,Rarely,Insomnia,Yes,Yes,>9PM,Yes,Yes,<1h,Entertainment,V.Good,Usually on time,Rarely,Yes,Rarely,No impact,<3.0,<3.0,Yes,Yes,Yes
21-25,Male,In hostel,5-6h,12-1AM,11PM-12AM,After 1 AM,After 8AM,After 8AM,Yes,1-2d,Rarely,OSA,Yes,Yes,>9PM,No,No,3-4h,Social media,Avg,Always on time,Never,Yes,Always,Very Positive,3.75-4.0,3.5-4.0,No,No,No
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,6-8AM,No,Never,Rarely,N/A,Yes,No,>9PM,No,No,>4h,Social media,Good,Always on time,Often,No,Sometimes,No impact,3.5-3.74,3.5-4.0,Yes,Yes,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Often,N/A,Yes,No,>9PM,No,No,<1h,Entertainment,Good,Usually on time,Rarely,Yes,Sometimes,Somewhat Negative,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,7-8h,11PM-12AM,12-1AM,After 1 AM,6-8AM,6-8AM,Yes,1-2d,Rarely,N/A,No,Yes,<7PM,No,No,2-3h,Other,Good,Usually on time,Rarely,Yes,Sometimes,Somewhat Positive,<3.0,<3.0,Yes,No,No
21-25,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Sometimes,N/A,Yes,Yes,7-9PM,No,No,1-2h,Noise,V.Good,Always on time,Often,Yes,Sometimes,Somewhat Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Sometimes,N/A,Yes,Yes,>9PM,No,No,2-3h,Social media,Good,Usually on time,Rarely,No,Sometimes,Somewhat Negative,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,Yes,1-2d,Rarely,N/A,Yes,Yes,>9PM,Yes,Yes,1-2h,Social media,V.Good,Frequently late,Rarely,Yes,Sometimes,Very Positive,3.25-3.49,3.0-3.49,No,Yes,No
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,Never,Always,N/A,Yes,Yes,7-9PM,Yes,No,<1h,Social media,Poor,Occasionally late,Often,Yes,Always,Very Positive,3.5-3.74,3.5-4.0,No,No,No
16-20,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,Never,Rarely,N/A,Yes,No,7-9PM,No,No,2-3h,Stress,Poor,Usually on time,Rarely,Yes,Sometimes,Somewhat Negative,<3.0,<3.0,No,No,No
21-25,Male,In hostel,5-6h,After 1 AM,12-1AM,After 1 AM,After 8AM,After 8AM,No,≥5d,Sometimes,Insomnia,Yes,Yes,>9PM,No,No,3-4h,Other,V.Good,Usually on time,Never,No,Always,Somewhat Negative,3.25-3.49,3.0-3.49,Yes,Yes,No
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,3-4d,Sometimes,OSA,Yes,No,>9PM,No,No,2-3h,Entertainment,Avg,Always on time,Often,Yes,Always,Somewhat Negative,3.5-3.74,3.5-4.0,Yes,No,No
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Sometimes,N/A,Yes,No,>9PM,No,No,>4h,Stress,Good,Always on time,Never,No,Always,Somewhat Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,3-4d,Always,N/A,No,No,>9PM,Yes,No,3-4h,Workload,Poor,Occasionally late,Often,No,Always,Somewhat Positive,3.25-3.49,3.0-3.49,No,No,Yes
21-25,Male,In hostel,5-6h,12-1AM,12-1AM,12-1AM,6-8AM,6-8AM,Yes,3-4d,Sometimes,Insomnia,No,No,>9PM,No,No,3-4h,Workload,V.Good,Always on time,Never,No,Always,No impact,3.0-3.24,3.0-3.49,Yes,No,No
21-25,Male,In hostel,7-8h,After 1 AM,12-1AM,After 1 AM,After 8AM,After 8AM,No,Never,Never,N/A,No,No,7-9PM,No,No,<1h,Entertainment,V.Good,Occasionally late,Never,No,Sometimes,Somewhat Positive,3.0-3.24,3.0-3.49,Yes,Yes,No
21-25,Male,In mess,7-8h,12-1AM,12-1AM,12-1AM,6-8AM,6-8AM,Yes,3-4d,Never,RLS,Yes,Yes,>9PM,No,No,2-3h,Workload,Avg,Usually on time,Never,No,Sometimes,No impact,3.75-4.0,3.5-4.0,Yes,No,No
>25,Male,With family,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,6-8AM,No,1-2d,Often,OSA,No,No,>9PM,No,No,2-3h,Social media,V.Good,Always on time,Rarely,No,Sometimes,Somewhat Positive,3.25-3.49,3.0-3.49,No,Yes,Yes
21-25,Male,In hostel,>8h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,≥5d,Never,Insomnia,Yes,No,>9PM,No,No,<1h,Other,V.Good,Always on time,Never,No,Rarely,Very Positive,3.0-3.24,3.0-3.49,No,No,No
21-25,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Rarely,Insomnia,Yes,Yes,>9PM,No,No,<1h,Workload,Good,Always on time,Rarely,No,Sometimes,Somewhat Positive,3.25-3.49,3.0-3.49,No,Yes,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,Never,Always,N/A,Yes,No,>9PM,Yes,No,<1h,Job,Poor,Always on time,Never,No,Sometimes,Somewhat Positive,3.5-3.74,3.5-4.0,No,No,No
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,Never,Sometimes,N/A,Yes,No,>9PM,Yes,No,1-2h,Noise,V.Good,Occasionally late,Rarely,Yes,Always,Very Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Never,N/A,Yes,No,>9PM,Yes,No,<1h,Social media,V.Good,Usually on time,Never,Yes,Sometimes,No impact,<3.0,<3.0,Yes,No,No
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Sometimes,N/A,Yes,No,7-9PM,No,No,<1h,Stress,Good,Always on time,Often,No,Always,Somewhat Positive,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,11PM-12AM,12-1AM,12-1AM,6-8AM,6-8AM,Yes,1-2d,Sometimes,N/A,Yes,No,>9PM,No,No,3-4h,Stress,Good,Always on time,Never,No,Always,No impact,3.5-3.74,3.5-4.0,No,No,Yes
21-25,Male,In hostel,5-6h,12-1AM,12-1AM,11PM-12AM,6-8AM,After 8AM,No,1-2d,Rarely,N/A,Yes,No,>9PM,No,No,2-3h,Other,Good,Always on time,Rarely,No,Always,Very Positive,3.25-3.49,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,6-8AM,6-8AM,Yes,Never,Never,N/A,Yes,Yes,>9PM,No,No,>4h,Workload,V.Good,Always on time,Never,No,Sometimes,Very Positive,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,12-1AM,After 1 AM,11PM-12AM,Before 6AM,After 8AM,No,3-4d,Always,Insomnia,Yes,No,7-9PM,No,No,>4h,Social media,Poor,Always on time,Often,No,Always,Very Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
16-20,Male,In hostel,7-8h,12-1AM,After 1 AM,10-11PM,6-8AM,After 8AM,No,Never,Often,N/A,Yes,No,>9PM,No,No,<1h,Social media,Good,Always on time,Never,No,Sometimes,Somewhat Positive,3.0-3.24,3.0-3.49,No,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,≥5d,Often,N/A,Yes,No,>9PM,No,No,2-3h,Workload,Good,Usually on time,Never,No,Sometimes,Somewhat Negative,3.0-3.24,3.0-3.49,Yes,No,No
21-25,Male,In hostel,5-6h,10-11PM,10-11PM,10-11PM,Before 6AM,Before 6AM,Yes,1-2d,Sometimes,N/A,Yes,No,7-9PM,No,No,>4h,Noise,Good,Always on time,Never,No,Always,No impact,3.5-3.74,3.5-4.0,Yes,Yes,No
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,Before 6AM,Before 6AM,Yes,3-4d,Often,N/A,Yes,No,>9PM,No,No,3-4h,Stress,V.Good,Always on time,Often,Yes,Always,Very Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,12-1AM,After 1 AM,After 8AM,After 8AM,No,Never,Rarely,N/A,Yes,Yes,7-9PM,Yes,Yes,1-2h,Entertainment,Poor,Frequently late,Always,Yes,Always,No impact,3.75-4.0,3.5-4.0,No,Yes,No
21-25,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Rarely,N/A,Yes,No,>9PM,No,No,2-3h,Entertainment,V.Good,Always on time,Rarely,Yes,Sometimes,No impact,<3.0,<3.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Sometimes,N/A,Yes,Yes,>9PM,No,No,3-4h,Workload,Good,Always on time,Rarely,No,Sometimes,No impact,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,Yes,Never,Always,Insomnia,Yes,Yes,>9PM,Yes,Yes,>4h,Workload,Good,Always on time,Never,No,Always,No impact,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Sometimes,N/A,Yes,Yes,>9PM,No,No,2-3h,Workload,Good,Always on time,Never,No,Always,Somewhat Negative,<3.0,<3.0,No,Yes,Yes
16-20,Male,In hostel,5-6h,12-1AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,3-4d,Often,N/A,Yes,No,>9PM,Yes,No,>4h,Other,Good,Always on time,Rarely,No,Always,Somewhat Positive,3.25-3.49,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,Yes,1-2d,Sometimes,N/A,Yes,No,7-9PM,No,No,2-3h,Workload,V.Good,Occasionally late,Rarely,No,Always,Very Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,≥5d,Sometimes,N/A,No,Yes,>9PM,No,No,>4h,Stress,V.Good,Usually on time,Always,Yes,Always,Very Positive,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,12-1AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,1-2d,Sometimes,Insomnia,Yes,Yes,>9PM,Yes,Yes,3-4h,Social media,Good,Usually on time,Rarely,Yes,Sometimes,Somewhat Negative,3.25-3.49,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,≥5d,Always,Insomnia,Yes,Yes,>9PM,No,No,<1h,Social media,Poor,Frequently late,Rarely,Yes,Sometimes,Very Positive,3.75-4.0,3.5-4.0,Yes,No,No
21-25,Male,In hostel,5-6h,12-1AM,12-1AM,12-1AM,After 8AM,After 8AM,No,1-2d,Sometimes,OSA,Yes,No,7-9PM,No,No,<1h,Workload,Good,Always on time,Rarely,No,Always,Somewhat Positive,3.5-3.74,3.5-4.0,Yes,Yes,Yes
21-25,Male,In hostel,<5h,12-1AM,After 1 AM,After 1 AM,6-8AM,6-8AM,No,1-2d,Sometimes,N/A,Yes,No,7-9PM,No,No,2-3h,Stress,Good,Always on time,Never,No,Sometimes,Somewhat Positive,3.75-4.0,3.5-4.0,Yes,No,No
21-25,Male,In hostel,7-8h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Sometimes,N/A,Yes,No,>9PM,No,No,1-2h,Entertainment,Good,Frequently late,Rarely,Yes,Sometimes,Somewhat Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
16-20,Male,In hostel,7-8h,11PM-12AM,12-1AM,12-1AM,6-8AM,After 8AM,Yes,1-2d,Never,N/A,Yes,Yes,>9PM,No,No,3-4h,Workload,V.Good,Usually on time,Rarely,No,Always,Very Positive,3.25-3.49,3.0-3.49,Yes,No,Yes
